Player,Position,School,College,Height,Weight,40 Time,Vertical Jump,Bench,Broad Jump,3 Cone,Shuttle,Drafted
Paulson Adebo,CB,Stanford,College Stats,6-1,198,4.45,36.5,18,121,6.69,4.13,New Orleans Saints / 3rd / 76th pick / 2021
Jack Anderson,OL,Texas Tech,College Stats,6-4,314,5.28,29.5,27,105,7.90,4.83,Buffalo Bills / 7th / 236th pick / 2021
Tutu Atwell,WR,Louisville,College Stats,5-8,155,4.42,33.0,,117,6.89,4.14,Los Angeles Rams / 2nd / 57th pick / 2021
Josh Ball,OL,Marshall,College Stats,6-7,308,5.20,27.5,28,106,7.77,4.70,Dallas Cowboys / 4th / 138th pick / 2021
Aaron Banks,OL,Notre Dame,College Stats,6-5,325,5.32,31.0,24,100,7.69,4.89,San Francisco 49ers / 2nd / 48th pick / 2021
Christian Barmore,DL,Alabama,College Stats,6-4,310,4.93,,,,,,New England Patriots / 2nd / 38th pick / 2021
Derrick Barnes,DE,Purdue,College Stats,6-0,238,4.57,37.0,29,119,,4.27,Detroit Lions / 4th / 113th pick / 2021
Carlos Basham,DL,Wake Forest,College Stats,6-3,274,4.64,34.0,20,122,7.13,4.25,Buffalo Bills / 2nd / 61st pick / 2021
Rashod Bateman,WR,Minnesota,College Stats,6-0,190,4.39,36.0,,123,,,Baltimore Ravens / 1st / 27th pick / 2021
Joshuah Bledsoe,S,Missouri,College Stats,,,,,,,,,New England Patriots / 6th / 188th pick / 2021
Nick Bolton,LB,Missouri,College Stats,5-11,237,4.60,32.0,24,,7.40,4.50,Kansas City Chiefs / 2nd / 58th pick / 2021
Ian Book,QB,Notre Dame,College Stats,6-0,211,4.65,32.5,,115,6.99,4.19,New Orleans Saints / 4th / 133rd pick / 2021
Larry Borom,OL,Missouri,College Stats,6-5,322,5.12,31.0,,,,,Chicago Bears / 5th / 151st pick / 2021
William Bradley-King,OLB,Baylor,College Stats,6-3,252,4.74,34.5,,119,7.14,4.26,Washington Football Team / 7th / 240th pick / 2021
Brady Breeze,S,Oregon,College Stats,5-11,197,4.55,38.0,20,120,7.05,4.22,Tennessee Titans / 6th / 215th pick / 2021
Gary Brightwell,RB,Arizona,College Stats,5-10,218,4.62,34.5,17,118,7.51,4.48,New York Giants / 6th / 196th pick / 2021
K.J. Britt,LB,Auburn,College Stats,6-0,235,4.76,32.5,24,118,7.38,4.40,Tampa Bay Buccaneers / 5th / 176th pick / 2021
Deonte Brown,OL,Alabama,College Stats,6-3,344,,27.0,,,,,Carolina Panthers / 6th / 193rd pick / 2021
Dyami Brown,WR,North Carolina,College Stats,6-0,189,4.46,35.0,18,128,6.87,4.35,Washington Football Team / 3rd / 82nd pick / 2021
Tre Brown,CB,Oklahoma,College Stats,5-9,185,4.42,38.0,13,123,7.11,4.27,Seattle Seahawks / 4th / 137th pick / 2021
Amon-Ra St. Brown,WR,USC,College Stats,5-11,197,4.51,38.5,20,127,6.88,4.17,Detroit Lions / 4th / 112th pick / 2021
Baron Browning,LB,Ohio St.,College Stats,6-2,245,4.58,40.0,23,130,6.78,4.23,Denver Broncos / 3rd / 105th pick / 2021
Camryn Bynum,CB,California,College Stats,6-0,196,4.58,34.0,,129,6.99,4.10,Minnesota Vikings / 4th / 125th pick / 2021
Tyson Campbell,DB,Georgia,College Stats,6-1,193,4.40,34.5,12,124,7.15,4.45,Jacksonville Jaguars / 2nd / 33rd pick / 2021
Jackson Carman,OT,Clemson,College Stats,6-4,317,,,,,,,Cincinnati Bengals / 2nd / 46th pick / 2021
Michael Carter,RB,North Carolina,College Stats,5-7,201,4.50,34.0,16,119,6.81,3.98,New York Jets / 4th / 107th pick / 2021
Ja'Marr Chase,WR,LSU,College Stats,6-0,201,4.34,41.0,,132,6.96,3.99,Cincinnati Bengals / 1st / 5th pick / 2021
