Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2011.0,Sam Acho,Texas,OLB,73.63,262.0,9.75,33.5,,4.67,23.0,33.5,112.0,4.32,6.69,
2011.0,Darvin Adams,Auburn,WR,74.13,190.0,9.25,34.0,,4.56,,35.0,117.0,4.33,6.98,
2011.0,Danny Aiken,Virginia,LS,76.25,244.0,9.5,32.25,,5.11,11.0,32.0,104.0,4.67,7.45,
2011.0,Olufemi Ajiboye,South Carolina,DT,73.38,297.0,10.0,34.0,,5.4,23.0,24.0,91.0,4.71,7.72,
2011.0,Anthony Allen,Georgia Tech,RB,72.75,228.0,9.63,30.38,,4.56,24.0,41.5,120.0,4.06,6.79,11.46
2011.0,Armando Allen,Notre Dame,RB,68.25,199.0,8.75,30.25,,4.52,23.0,31.5,120.0,4.12,7.1,
2011.0,Cortez Allen,Citadel (SC),CB,73.25,197.0,8.63,32.25,,4.5,18.0,35.5,129.0,4.01,6.76,10.87
2011.0,Pierre Allen,Nebraska,DE,75.5,273.0,9.875,35.0,,,,,,,,
2011.0,Prince Amukamara,Nebraska,CB,72.0,206.0,8.5,30.5,,4.38,15.0,38.0,128.0,4.08,6.97,11.34
2011.0,David Arkin,Missouri State,OG,76.75,300.0,10.5,33.88,,5.31,25.0,29.0,103.0,4.63,7.6,
2011.0,Matt Asiata,Utah,RB,71.0,229.0,9.5,30.13,,4.77,22.0,30.0,104.0,4.37,7.09,11.96
2011.0,David Ausberry,Southern California,FB,75.5,243.0,,,,4.48,23.0,36.0,121.0,4.43,7.08,
2011.0,Marvin Austin,North Carolina,DT,73.63,309.0,10.25,32.63,,4.84,38.0,30.5,112.0,4.4,7.33,
2011.0,Akeem Ayers,UCLA,OLB,74.5,254.0,9.0,33.0,,4.81,18.0,31.0,116.0,4.28,7.49,11.93
2011.0,Allen Bailey,Miami (FL),DE,75.0,285.0,10.25,34.0,,4.71,27.0,36.5,117.0,4.56,7.43,
2011.0,Dan Bailey,Oklahoma State,K,72.25,193.0,9.75,31.0,,,,,,,,
2011.0,Brandon Bair,Oregon,DE,77.88,276.0,10.13,33.0,,4.92,26.0,28.0,114.0,4.37,7.07,
2011.0,Mikail Baker,Baylor,CB,71.38,191.0,,,,4.41,12.0,38.0,130.0,4.0,7.13,
