,Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle,FI,LN,pk
5,1993,stevie anderson,Grambling State (LA),WR,76.3,207,8.88,32.63,,4.57,,35,115,4.15,,11.38,s,anderson,s-anderson-1993
10,1993,victor bailey,Missouri,WR,74.3,196,10.5,32,,4.57,,35,114,4.16,,11.94,v,bailey,v-bailey-1993
13,1993,shannon baker,Florida State,WR,69.5,185,9.25,32.88,,4.49,,35,114,4.4,,11.96,s,baker,s-baker-1993
23,1993,jimmy bethea,Tennessee State,WR,74.4,198,9.38,33,,4.73,12,,,,,,j,bethea,j-bethea-1993
31,1993,phillip bobo,Washington State,WR,70.6,186,9.88,32.25,,4.59,,27,111,4.26,,11.83,p,bobo,p-bobo-1993
34,1993,melvin bonner,Baylor,WR,74.6,207,8.88,32.88,,4.63,,36,129,4.42,,11.99,m,bonner,m-bonner-1993
39,1993,vincent brisby,Louisiana-Monroe,WR,73,186,10.25,32.38,,4.49,,36,128,4.04,,11.44,v,brisby,v-brisby-1993
40,1993,anthony brooks,East Texas Baptist,WR,71,179,8.5,32,,4.5,,29,115,4.3,,11.84,a,brooks,a-brooks-1993
64,1993,gregory clifton,Virginia Military Inst (VA),WR,71.3,178,9,30,,4.58,,33.5,122,4.14,,11.39,g,clifton,g-clifton-1993
69,1993,curtis conway,Southern California,WR,72.3,185,8.75,31.5,,,,,,,,,c,conway,c-conway-1993
71,1993,horace copeland,Miami (FL),WR,74.4,194,9.75,33.25,,4.63,,43.5,130,,,,h,copeland,h-copeland-1993
73,1993,russell copeland,Memphis,WR,72.4,196,8.38,31.38,,,,34.5,112,,,,r,copeland,r-copeland-1993
82,1993,sean dawkins,California,WR,75.9,213,10,32.25,,4.61,,32,119,4,,11.21,s,dawkins,s-dawkins-1993
85,1993,ron dickerson,Arkansas,WR,72.5,206,8.88,33,,4.55,,33.5,123,4.2,,11.69,r,dickerson,r-dickerson-1993
129,1993,travis hannah,Southern California,WR,67,161,8,29,,4.43,,32,114,4.1,,11.57,t,hannah,t-hannah-1993
134,1993,willie harris,Mississippi State,WR,73.4,193,8.88,32.13,,4.63,,33.5,114,4.24,,11.52,w,harris,w-harris-1993
135,1993,andre hastings,Georgia,WR,72.3,185,9.88,31.5,,,,,,,,,a,hastings,a-hastings-1993
150,1993,danan hughes,Iowa,WR,73.3,206,9.75,31.25,,,,,,,,,d,hughes,d-hughes-1993
156,1993,qadry ismail,Syracuse,WR,72.5,192,9.75,31.63,,4.49,,35,119,,,,q,ismail,q-ismail-1993
158,1993,tony james,Mississippi State,WR,68.9,190,8.25,30.38,,4.79,,31,106,4.13,,12.66,t,james,t-james-1993
160,1993,james jett,West Virginia,WR,69.4,167,8.88,30.75,,4.49,,33,117,3.89,,11.3,j,jett,j-jett-1993
161,1993,antonio johnson,Syracuse,WR,67.6,195,8.88,31.5,,4.51,,40.5,124,4.29,,11.49,a,johnson,a-johnson-1993
173,1993,antonious kimbrough,Jackson State (MS),WR,74.3,195,8.63,33.88,,4.63,,32,116,4.2,,11.41,a,kimbrough,a-kimbrough-1993
179,1993,sean lachapelle,UCLA,WR,75.5,205,9,30.88,,4.66,,35,123,4.12,,11.52,s,lachapelle,s-lachapelle-1993
199,1993,o.j. mcduffie,Penn State,WR,70.1,191,10.13,31.75,,,,,,,,,o,mcduffie,o-mcduffie-1993
