Round,Pick,Team,Player,Position,Age,School
1,1,KAN,Eric Fisher,T,22,Central Michigan
1,2,JAX,Luke Joeckel,T,21,Texas A&M
1,3,MIA,Dion Jordan,DE,23,Oregon
1,4,PHI,Lane Johnson,T,23,Oklahoma
1,5,DET,Ezekiel Ansah,DE,24,BYU
1,6,CLE,Barkevious Mingo,LB,22,LSU
1,7,ARI,Jonathan Cooper,G,23,North Carolina
1,8,STL,Tavon Austin,WR,23,West Virginia
1,9,NYJ,Dee Milliner,DB,21,Alabama
1,10,TEN,Chance Warmack,G,21,Alabama
1,11,SDG,D.J. Fluker,T,22,Alabama
1,12,OAK,D.J. Hayden,DB,23,Houston
1,13,NYJ,Sheldon Richardson,DT,22,Missouri
1,14,CAR,Star Lotulelei,DT,23,Utah
1,15,NOR,Kenny Vaccaro,DB,22,Texas
1,16,BUF,EJ Manuel,QB,23,Florida St.
1,17,PIT,Jarvis Jones,LB,23,Georgia
1,18,SFO,Eric Reid,DB,21,LSU
1,19,NYG,Justin Pugh,T,23,Syracuse
1,20,CHI,Kyle Long,G,24,Oregon
1,21,CIN,Tyler Eifert,TE,22,Notre Dame
1,22,ATL,Desmond Trufant,DB,22,Washington
1,23,MIN,Sharrif Floyd,DT,21,Florida
1,24,IND,Bjoern Werner,DE,23,Florida St.
1,25,MIN,Xavier Rhodes,DB,23,Florida St.
1,26,GNB,Datone Jones,DE,23,UCLA
1,27,HOU,DeAndre Hopkins,WR,21,Clemson
1,28,DEN,Sylvester Williams,DT,24,North Carolina
1,29,MIN,Cordarrelle Patterson,WR,22,Tennessee
1,30,STL,Alec Ogletree,LB,21,Georgia
1,31,DAL,Travis Frederick,C,22,Wisconsin
1,32,BAL,Matt Elam,DB,22,Florida
2,33,JAX,Johnathan Cyprien,DB,23,Florida International
2,34,TEN,Justin Hunter,WR,22,Tennessee
2,35,PHI,Zach Ertz,TE,22,Stanford
2,36,DET,Darius Slay,DB,22,Mississippi St.
2,37,CIN,Giovani Bernard,RB,21,North Carolina
2,38,SDG,Manti Te'o,LB,22,Notre Dame
2,39,NYJ,Geno Smith,QB,22,West Virginia
2,40,SFO,Tank Carradine,DE,23,Florida St.
2,41,BUF,Robert Woods,WR,21,USC
2,42,OAK,Menelik Watson,T,24,Florida St.
2,43,TAM,Johnthan Banks,DB,23,Mississippi St.
2,44,CAR,Kawann Short,DT,24,Purdue
2,45,ARI,Kevin Minter,LB,22,LSU
2,46,BUF,Kiko Alonso,LB,23,Oregon
2,47,DAL,Gavin Escobar,TE,22,San Diego St.
2,48,PIT,Le'Veon Bell,RB,21,Michigan St.
2,49,NYG,Johnathan Hankins,DT,21,Ohio St.
2,50,CHI,Jonathan Bostic,LB,22,Florida
2,51,WAS,David Amerson,DB,21,North Carolina St.
2,52,NWE,Jamie Collins,LB,23,Southern Miss
2,53,CIN,Margus Hunt,DE,26,SMU
2,54,MIA,Jamar Taylor,DB,22,Boise St.
2,55,SFO,Vance McDonald,TE,23,Rice
