Rk,Player,School,Conf,G,Completions,Attempts,CompletionPCT,PassYds,YardsPerAttempt,AdjustedYardsPerAttempt,PassingTDs,Int,EfficiencyRtg,RushAtt,RushYds,RushAvg,RushTD
1,Grayson McCall,Coastal Carolina,Sun Belt,11,176,241,73.0,2873,11.9,13.6,27,3,207.6,93,290,3.1,4
2,C.J. Stroud,Ohio State,Big Ten,12,317,441,71.9,4435,10.1,11.4,44,6,186.6,32,-20,-0.6,0
3,Stetson Bennett,Georgia,SEC,14,185,287,64.5,2862,10.0,10.9,29,7,176.7,56,259,4.6,1
4,Hendon Hooker,Tennessee,SEC,13,206,303,68.0,2945,9.7,11.3,31,3,181.4,166,616,3.7,5
5,Dylan Hopkins,UAB,CUSA,13,155,235,66.0,2274,9.7,9.9,18,7,166.6,85,19,0.2,5
6,Adrian Martinez,Nebraska,Big Ten,11,189,306,61.8,2863,9.4,8.8,14,10,148.9,133,525,3.9,13
7,Kaleb Eleby,Western Michigan,MAC,13,230,362,63.5,3277,9.1,9.6,23,6,157.2,87,64,0.7,6
8,K.J. Jefferson,Arkansas,SEC,13,198,294,67.3,2676,9.1,9.9,21,4,164.7,146,664,4.5,6
9,Caleb Williams,Oklahoma,Big 12,11,136,211,64.5,1912,9.1,10.2,21,4,169.6,79,442,5.6,6
10,Gavin Hardison,UTEP,CUSA,13,198,357,55.5,3218,9.0,8.4,18,13,140.5,46,-44,-1.0,0
11,Tyler Van Dyke,Miami (FL),ACC,10,202,324,62.3,2931,9.0,9.8,25,6,160.1,53,57,1.1,1
12,Skylar Thompson,Kansas State,Big 12,10,162,233,69.5,2103,9.0,9.3,12,4,158.9,48,4,0.1,4
13,Max Duggan,TCU,Big 12,10,145,227,63.9,2048,9.0,9.2,16,6,157.6,105,352,3.4,3
14,Bryce Young,Alabama,SEC,15,366,547,66.9,4872,8.9,10.0,47,7,167.5,81,0,0.0,3
15,Brennan Armstrong,Virginia,ACC,11,326,500,65.2,4449,8.9,9.2,31,10,156.4,98,251,2.6,9
16,Brett Gabbert,Miami (OH),MAC,10,178,299,59.5,2648,8.9,9.7,26,6,158.6,54,147,2.7,1
17,Sam Howell,North Carolina,ACC,12,217,347,62.5,3056,8.8,9.0,24,9,154.2,183,828,4.5,11
18,Bailey Zappe,Western Kentucky,CUSA,14,475,686,69.2,5967,8.7,9.8,62,11,168.9,51,17,0.3,3
19,Kenny Pickett,Pitt,ACC,13,334,497,67.2,4319,8.7,9.7,42,7,165.3,97,241,2.5,5
20,Matt Corral,Ole Miss,SEC,13,262,386,67.9,3349,8.7,9.1,20,5,155.3,152,614,4.0,11
21,Malik Cunningham,Louisville,ACC,13,209,337,62.0,2941,8.7,9.1,19,6,150.4,173,1031,6.0,20
22,Jaren Hall,Brigham Young,Ind,10,189,296,63.9,2583,8.7,9.3,20,5,156.1,62,307,5.0,3
23,Chase Brice,Appalachian State,Sun Belt,14,242,390,62.1,3337,8.6,8.7,27,11,151.1,71,149,2.1,3
24,Desmond Ridder,Cincinnati,American,14,251,387,64.9,3334,8.6,9.2,30,8,158.7,110,355,3.2,6
25,Max Bortenschlager,Florida International,CUSA,12,178,342,52.0,2935,8.6,8.1,19,12,135.5,50,-250,-5.0,1
26,Logan Bonner,Utah State,MWC,14,263,429,61.3,3628,8.5,8.9,36,12,154.4,69,66,1.0,0
27,Seth Henigan,Memphis,American,11,235,393,59.8,3322,8.5,8.8,25,8,147.7,80,147,1.8,0
28,Dorian Thompson-Robinson,UCLA,Pac-12,11,176,283,62.2,2409,8.5,9.0,21,6,153.9,130,609,4.7,9
29,Jake Haener,Fresno State,MWC,13,329,490,67.1,4096,8.4,8.9,33,9,155.9,71,5,0.1,3
30,Aidan O'Connell,Purdue,Big Ten,12,315,440,71.6,3712,8.4,8.6,28,11,158.5,25,-120,-4.8,1
31,Clayton Tune,Houston,American,14,287,420,68.3,3544,8.4,8.8,30,10,158.0,105,154,1.5,2
32,Dustin Crum,Kent State,MAC,14,244,381,64.0,3206,8.4,8.8,20,6,148.9,161,703,4.4,12
33,Malik Willis,Liberty,Ind,13,207,339,61.1,2857,8.4,8.4,27,12,151.1,197,878,4.5,13
34,Chance Nolan,Oregon State,Pac-12,13,204,318,64.2,2677,8.4,8.2,19,10,148.3,70,286,4.1,3
35,Sam Hartman,Wake Forest,ACC,14,299,508,58.9,4228,8.3,8.6,39,14,148.6,117,364,3.1,11
36,Payton Thorne,Michigan State,Big Ten,13,235,389,60.4,3232,8.3,8.5,27,10,148.0,82,181,2.2,4
37,Daniel Richardson,Central Michigan,MAC,13,191,316,60.4,2633,8.3,9.0,24,6,151.7,23,-38,-1.7,0
38,DeQuan Finn,Toledo,MAC,13,144,250,57.6,2067,8.3,9.3,18,2,149.2,112,502,4.5,9
