,Round,Pick,Team,Player,Position,Age,School,Year_x,Weight,40 Time,Vertical Jump,3 Cone,Shuttle,Height (in),PK,PK1,G,Completions,Attempts,CompletionPCT,PassYds,YardsPerAttempt,AdjustedYardsPerAttempt,PassingTDs,Int,EfficiencyRtg,RushAtt,RushYds,RushAvg,RushTD,Year_y,AdjustedYds,YPG,Last_Year,Conf,year_drafted,response
0,1,1,NWE,Drew Bledsoe,QB,21.0,Washington St.,1993,233.0,,32.5,,4.54,77.0,drew bledsoe+1993,,,,,,,,,,,,,,,,,,,,,,2.0
1,1,2,SEA,Rick Mirer,QB,23.0,Notre Dame,1993,216.0,,,,,74.0,rick mirer+1993,,,,,,,,,,,,,,,,,,,,,,3.0
2,3,58,RAI,Billy Joe Hobert,QB,22.0,Washington,1993,234.0,4.89,30.5,,4.29,74.6,billy joe hobert+1993,,,,,,,,,,,,,,,,,,,,,,
3,5,118,GNB,Mark Brunell,QB,22.0,Washington,1993,206.0,4.7,30.5,,4.19,73.0,mark brunell+1993,,,,,,,,,,,,,,,,,,,,,,
4,7,192,MIN,Gino Torretta,QB,23.0,Miami (FL),1993,219.0,,31.0,,,74.0,gino torretta+1993,,,,,,,,,,,,,,,,,,,,,,
5,8,216,PIT,Alex Van Pelt,QB,23.0,Pittsburgh,1993,212.0,4.97,30.5,,,72.0,alex van pelt+1993,,,,,,,,,,,,,,,,,,,,,,
6,8,219,SFO,Elvis Grbac,QB,23.0,Michigan,1993,232.0,4.81,31.5,,4.5,77.1,elvis grbac+1993,,,,,,,,,,,,,,,,,,,,,,
7,8,222,SDG,Trent Green,QB,23.0,Indiana,1993,211.0,4.92,32.5,,4.2,74.5,trent green+1993,,,,,,,,,,,,,,,,,,,,,,
8,1,3,WAS,Heath Shuler,QB,22.0,Tennessee,1994,221.0,,,,,74.0,heath shuler+1994,heath shuler+Tennessee,11.0,184.0,285.0,64.6,2354.0,8.259649122807017,8.8,25.0,8.0,157.3,46.0,73.0,1.6,3.0,1993.0,2508.0,214.0,1993.0,SEC,1994,3.0
9,1,6,TAM,Trent Dilfer,QB,22.0,Fresno St.,1994,228.0,,,,,75.3,trent dilfer+1994,trent dilfer+Fresno State,12.0,254.0,396.0,64.1,3799.0,9.593434343434344,10.5,30.0,5.0,167.2,40.0,-113.0,-2.8,1.0,1993.0,4158.0,316.5833333333333,1993.0,WAC,1994,3.0
10,4,111,ATL,Perry Klein,QB,23.0,C.W. Post,1994,214.0,4.84,32.5,,4.2,74.4,perry klein+1994,,,,,,,,,,,,,,,,,,,,,,
11,4,116,NOR,Doug Nussmeier,QB,23.0,Idaho,1994,211.0,4.88,33.0,,4.13,74.9,doug nussmeier+1994,,,,,,,,,,,,,,,,,,,,,,
12,6,178,PIT,Jim Miller,QB,23.0,Michigan St.,1994,227.0,5.13,24.5,,4.39,74.3,jim miller+1994,jim miller+Michigan State,12.0,215.0,336.0,64.0,2269.0,6.752976190476191,5.8,9.0,11.0,123.0,41.0,-160.0,-3.9,0.0,1993.0,1948.8,189.08333333333334,1993.0,Big Ten,1994,
13,7,197,WAS,Gus Frerotte,QB,23.0,Tulsa,1994,221.0,5.04,26.0,,4.79,75.0,gus frerotte+1994,gus frerotte+Tulsa,11.0,214.0,383.0,55.9,2871.0,7.496083550913838,6.8,21.0,15.0,129.1,73.0,10.0,0.1,1.0,1993.0,2604.4,261.0,1993.0,Ind,1994,3.0
14,7,198,NWE,Jay Walker,QB,22.0,Howard,1994,,,,,,,jay walker+1994,,,,,,,,,,,,,,,,,,,,,,
15,7,199,KAN,Steve Matthews,QB,23.0,Memphis,1994,208.0,,,,,74.9,steve matthews+1994,steve matthews+Memphis,9.0,166.0,273.0,60.8,1896.0,6.945054945054945,5.8,13.0,13.0,125.3,38.0,-176.0,-4.6,1.0,1993.0,1583.3999999999999,210.66666666666666,1993.0,Ind,1994,
16,7,208,NYJ,Glenn Foley,QB,23.0,Boston Col.,1994,212.0,,,,,72.8,glenn foley+1994,glenn foley+Boston College,11.0,222.0,363.0,61.2,3397.0,9.358126721763085,9.5,25.0,10.0,157.0,26.0,-44.0,-1.7,0.0,1993.0,3448.5,308.8181818181818,1993.0,Big East,1994,
17,1,3,HOU,Steve McNair,QB,22.0,Alcorn St.,1995,224.0,,,,,73.6,steve mcnair+1995,,,,,,,,,,,,,,,,,,,,,,3.0
18,1,5,CAR,Kerry Collins,QB,22.0,Penn St.,1995,240.0,,,,,77.0,kerry collins+1995,kerry collins+Penn State,22.0,303.0,514.0,117.5,4284.0,8.334630350194553,8.068093385214008,34.0,18.0,286.0,38.0,-11.0,-1.3,0.0,3987.0,4147.0,194.72727272727272,1994.0,Big Ten,1995,3.0
19,2,45,BUF,Todd Collins,QB,23.0,Michigan,1995,224.0,5.07,30.0,,4.34,76.6,todd collins+1995,todd collins+Michigan,24.0,375.0,584.0,128.5,5027.0,8.607876712328768,8.353424657534246,30.0,17.0,295.3,87.0,-124.0,-3.2,0.0,3987.0,4878.4,209.45833333333334,1994.0,Big Ten,1995,3.0
20,2,60,PIT,Kordell Stewart,QB,22.0,Colorado,1995,212.0,4.52,36.0,,4.13,73.5,kordell stewart+1995,kordell stewart+Colorado,22.0,304.0,531.0,115.4,4370.0,8.229755178907721,8.169491525423728,21.0,10.0,273.5,224.0,1163.0,10.3,13.0,3987.0,4338.0,198.63636363636363,1994.0,Big 8,1995,3.0
21,3,80,ARI,Stoney Case,QB,23.0,New Mexico,1995,206.0,4.83,30.5,,4.25,74.5,stoney case+1995,stoney case+New Mexico,23.0,410.0,713.0,115.2,5607.0,7.8639551192145865,7.698457223001403,39.0,20.0,273.1,266.0,861.0,6.4,25.0,3987.0,5489.0,243.7826086956522,1994.0,WAC,1995,
22,3,84,CLE,Eric Zeier,QB,23.0,Georgia,1995,208.0,,,,,72.5,eric zeier+1995,eric zeier+Georgia,22.0,528.0,858.0,123.1,6921.0,8.066433566433567,8.094405594405595,48.0,21.0,285.8,80.0,18.0,2.2,2.0,3987.0,6945.0,314.59090909090907,1994.0,SEC,1995,3.0
23,4,99,JAX,Rob Johnson,QB,22.0,USC,1995,223.0,,,,,75.3,rob johnson+1995,rob johnson+USC,24.0,494.0,725.0,136.0,6129.0,8.453793103448277,8.952275862068966,44.0,12.0,312.1,148.0,-440.0,-6.0,2.0,3987.0,6490.4,255.375,1994.0,Pac-10,1995,
24,4,111,MIN,Chad May,QB,,Kansas St.,1995,226.0,,,,,73.4,chad may+1995,chad may+Kansas State,22.0,385.0,688.0,112.0,5253.0,7.6351744186046515,7.59389534883721,34.0,16.0,263.7,128.0,-362.0,-5.7,10.0,3987.0,5224.6,238.77272727272728,1994.0,Big 8,1995,
25,4,119,PHI,Dave Barr,QB,23.0,California,1995,210.0,,,,,74.9,dave barr+1995,,,,,,,,,,,,,,,,,,,,,,
26,4,134,KAN,Steve Stenstrom,QB,23.0,Stanford,1995,199.0,5.08,28.0,,4.03,73.9,steve stenstrom+1995,steve stenstrom+Stanford,22.0,517.0,788.0,131.10000000000002,6449.0,8.184010152284264,8.138071065989847,43.0,20.0,294.9,113.0,-337.0,-5.9,3.0,3987.0,6412.799999999999,293.1363636363636,1994.0,Pac-10,1995,
27,5,160,GNB,Jay Barker,QB,,Alabama,1995,212.0,4.94,27.0,,4.31,74.4,jay barker+1995,jay barker+Alabama,12.0,139.0,226.0,61.5,1996.0,8.831858407079647,9.1,14.0,5.0,151.7,87.0,-143.0,-1.6,1.0,1994.0,2056.6,166.33333333333334,1994.0,SEC,1995,
28,6,191,CAR,Jerry Colquitt,QB,,Tennessee,1995,,,,,,,jerry colquitt+1995,,,,,,,,,,,,,,,,,,,,,,
