,Round,Pick,Team,Player,Position,Age,School,Year,Weight,40 Time,Vertical Jump,3 Cone,Shuttle,Height (in),PK,G,RushAtt,RushYds,RushAvg,RushTD,Rec,RecYds,RecAvg,RecTD,Plays,TotalYds,YardsPerPlay,TotalTDs,YPG,Conf,response
0,1,3,PHO,Garrison Hearst,RB,22.0,Georgia,1993,204.0,,,,,69.0,garrison hearst+1993,,,,,,,,,,,,,,,,3.0
1,1,10,RAM,Jerome Bettis HOF,RB,21.0,Notre Dame,1993,,,,,,,jerome bettis hof+1993,,,,,,,,,,,,,,,,
2,1,21,MIN,Robert Smith,RB,21.0,Ohio St.,1993,195.0,4.47,39.0,,4.03,72.3,robert smith+1993,,,,,,,,,,,,,,,,1.0
3,2,41,SDG,Natrone Means,RB,21.0,North Carolina,1993,255.0,,,,,70.4,natrone means+1993,,,,,,,,,,,,,,,,1.0
4,2,43,DEN,Glyn Milburn,RB,22.0,Stanford,1993,177.0,,,,,68.3,glyn milburn+1993,,,,,,,,,,,,,,,,
5,2,45,WAS,Reggie Brooks,RB,22.0,Notre Dame,1993,209.0,,,,,67.5,reggie brooks+1993,,,,,,,,,,,,,,,,2.0
6,2,49,IND,Roosevelt Potts,RB,22.0,La-Monroe,1993,,,,,,,roosevelt potts+1993,,,,,,,,,,,,,,,,3.0
7,3,73,RAM,Russell White,RB,22.0,California,1993,216.0,4.61,36.0,,4.28,70.6,russell white+1993,,,,,,,,,,,,,,,,4.0
8,3,78,MIA,Terry Kirby,RB,23.0,Virginia,1993,221.0,4.64,38.0,,4.14,73.3,terry kirby+1993,,,,,,,,,,,,,,,,1.0
9,4,87,PHO,Ronald Moore,RB,23.0,Pittsburg St.,1993,,,,,,,ronald moore+1993,,,,,,,,,,,,,,,,2.0
10,4,91,TAM,Rudy Harris,RB,21.0,Clemson,1993,,,,,,,rudy harris+1993,,,,,,,,,,,,,,,,4.0
11,4,94,DAL,Derrick Lassic,RB,23.0,Alabama,1993,192.0,,,,,69.6,derrick lassic+1993,,,,,,,,,,,,,,,,3.0
12,4,109,NOR,Derek Brown,RB,22.0,Nebraska,1993,180.0,4.63,38.0,,3.91,69.0,derek brown+1993,,,,,,,,,,,,,,,,3.0
13,5,120,NYJ,Adrian Murrell,RB,22.0,West Virginia,1993,206.0,4.59,33.5,,4.17,70.3,adrian murrell+1993,,,,,,,,,,,,,,,,2.0
14,5,126,DEN,Kevin Williams,RB,23.0,UCLA,1993,212.0,4.44,41.5,,4.11,72.5,kevin williams+1993,,,,,,,,,,,,,,,,
15,6,159,KAN,Darius Turner,RB,,Washington,1993,,,,,,,darius turner+1993,,,,,,,,,,,,,,,,
16,7,174,DET,Ty Hallock,RB,22.0,Michigan St.,1993,,,,,,,ty hallock+1993,,,,,,,,,,,,,,,,3.0
17,7,184,IND,Lance Lewis,RB,,Nebraska,1993,,,,,,,lance lewis+1993,,,,,,,,,,,,,,,,
18,8,208,RAI,Greg Robinson,RB,24.0,La-Monroe,1993,,,,,,,greg robinson+1993,,,,,,,,,,,,,,,,2.0
19,1,2,IND,Marshall Faulk HOF,RB,21.0,San Diego St.,1994,,,,,,,marshall faulk hof+1994,,,,,,,,,,,,,,,,
20,1,25,KAN,Greg Hill,RB,22.0,Texas A&M,1994,207.0,4.5,33.5,,3.97,70.6,greg hill+1994,7.0,124.0,707.0,5.701612903225806,6.0,6.0,78.0,13.0,1.0,130.0,785.0,6.038461538461538,7.0,11.142857142857142,SWC,3.0
21,2,34,TAM,Errict Rhett,RB,23.0,Florida,1994,211.0,,32.5,,,70.8,errict rhett+1994,12.0,247.0,1289.0,5.218623481781377,11.0,36.0,271.0,7.527777777777778,0.0,283.0,1560.0,5.512367491166078,11.0,22.583333333333332,SEC,2.0
22,2,38,ARI,Chuck Levy,RB,22.0,Arizona,1994,,,,,,,chuck levy+1994,8.0,126.0,567.0,4.5,9.0,3.0,21.0,7.0,0.0,129.0,588.0,4.558139534883721,9.0,2.625,Pac-10,
23,2,42,PHI,Charlie Garner,RB,22.0,Tennessee,1994,182.0,,,,,69.1,charlie garner+1994,11.0,159.0,1161.0,7.30188679245283,8.0,12.0,81.0,6.75,0.0,171.0,1242.0,7.2631578947368425,8.0,7.363636363636363,SEC,3.0
24,2,44,NOR,Mario Bates,RB,21.0,Arizona St.,1994,217.0,4.43,36.0,,4.12,72.6,mario bates+1994,11.0,246.0,1111.0,4.516260162601626,8.0,7.0,31.0,4.428571428571429,0.0,253.0,1142.0,4.513833992094861,8.0,2.8181818181818183,Pac-10,2.0
25,2,58,KAN,Donnell Bennett,RB,21.0,Miami (FL),1994,,,,,,,donnell bennett+1994,11.0,143.0,563.0,3.937062937062937,7.0,25.0,185.0,7.4,1.0,168.0,748.0,4.4523809523809526,8.0,16.818181818181817,Big East,3.0
26,3,73,SEA,Lamar Smith,RB,23.0,Houston,1994,,,,,,,lamar smith+1994,5.0,96.0,417.0,4.34375,2.0,29.0,205.0,7.068965517241379,3.0,125.0,622.0,4.976,5.0,41.0,SWC,
27,3,80,RAI,Calvin Jones,RB,23.0,Nebraska,1994,212.0,4.58,30.5,,4.09,71.1,calvin jones+1994,9.0,185.0,1043.0,5.6378378378378375,12.0,7.0,117.0,16.714285714285715,1.0,192.0,1160.0,6.041666666666667,13.0,13.0,Big 8,3.0
28,3,83,RAM,James Bostic,RB,22.0,Auburn,1994,222.0,4.62,34.5,,4.31,71.1,james bostic+1994,11.0,199.0,1205.0,6.055276381909548,12.0,10.0,40.0,4.0,1.0,209.0,1245.0,5.956937799043062,13.0,3.6363636363636362,SEC,
