,Round,Pick,Team,Player,Position,Age,School,Year,Weight,40 Time,Vertical Jump,3 Cone,Shuttle,Height (in),PK,G,RushAtt,RushYds,RushAvg,RushTD,Rec,RecYds,RecAvg,RecTD,Plays,TotalYds,YardsPerPlay,TotalTDs,YPG,Conf,response
0,1,3,PHO,Garrison Hearst,RB,22,Georgia,1993,204,,,,,69,garrison hearst+1993,,,,,,,,,,,,,,,,
1,1,10,RAM,Jerome Bettis,RB,21,Notre Dame,1993,,,,,,,jerome bettis hof+1993,34,337,1912,5.7,27,32,429,13.4,6,369,2341,6.3,33,68.85294118,Ind,
2,1,21,MIN,Robert Smith,RB,21,Ohio St.,1993,195,4.47,39,,4.03,72.3,robert smith+1993,,,,,,,,,,,,,,,,1
3,2,41,SDG,Natrone Means,RB,21,North Carolina,1993,255,,,,,70.4,natrone means+1993,,,,,,,,,,,,,,,,1
4,2,43,DEN,Glyn Milburn,RB,22,Stanford,1993,177,,,,,68.3,glyn milburn+1993,,,,,,,,,,,,,,,,
5,2,45,WAS,Reggie Brooks,RB,22,Notre Dame,1993,209,,,,,67.5,reggie brooks+1993,,,,,,,,,,,,,,,,3
6,2,49,IND,Roosevelt Potts,RB,22,La-Monroe,1993,,,,,,,roosevelt potts+1993,,,,,,,,,,,,,,,,3
7,3,73,RAM,Russell White,RB,22,California,1993,216,4.61,36,,4.28,70.6,russell white+1993,,,,,,,,,,,,,,,,
8,3,78,MIA,Terry Kirby,RB,23,Virginia,1993,221,4.64,38,,4.14,73.3,terry kirby+1993,,,,,,,,,,,,,,,,1
9,4,87,PHO,Ronald Moore,RB,23,Pittsburg St.,1993,,,,,,,ronald moore+1993,,,,,,,,,,,,,,,,2
10,4,91,TAM,Rudy Harris,RB,21,Clemson,1993,,,,,,,rudy harris+1993,,,,,,,,,,,,,,,,4
11,4,94,DAL,Derrick Lassic,RB,23,Alabama,1993,192,,,,,69.6,derrick lassic+1993,,,,,,,,,,,,,,,,3
12,4,109,NOR,Derek Brown,RB,22,Nebraska,1993,180,4.63,38,,3.91,69,derek brown+1993,,,,,,,,,,,,,,,,3
13,5,120,NYJ,Adrian Murrell,RB,22,West Virginia,1993,206,4.59,33.5,,4.17,70.3,adrian murrell+1993,,,,,,,,,,,,,,,,2
14,5,126,DEN,Kevin Williams,RB,23,UCLA,1993,212,4.44,41.5,,4.11,72.5,kevin williams+1993,,,,,,,,,,,,,,,,
15,6,159,KAN,Darius Turner,RB,,Washington,1993,,,,,,,darius turner+1993,,,,,,,,,,,,,,,,
16,7,174,DET,Ty Hallock,RB,22,Michigan St.,1993,,,,,,,ty hallock+1993,,,,,,,,,,,,,,,,3
17,7,184,IND,Lance Lewis,RB,,Nebraska,1993,,,,,,,lance lewis+1993,,,,,,,,,,,,,,,,
18,8,208,RAI,Greg Robinson,RB,24,La-Monroe,1993,,,,,,,greg robinson+1993,,,,,,,,,,,,,,,,3
19,1,2,IND,Marshall Faulk,RB,21,San Diego St.,1994,,,,,,,marshall faulk hof+1994,35,766,4589,6,57,82,973,11.9,5,848,5562,6.6,62,158.9142857,WAC,
20,1,25,KAN,Greg Hill,RB,22,Texas A&M,1994,207,4.5,33.5,,3.97,70.6,greg hill+1994,7,124,707,5.701612903,6,6,78,13,1,130,785,6.038461538,7,112.1428571,SWC,3
21,2,34,TAM,Errict Rhett,RB,23,Florida,1994,211,,32.5,,,70.8,errict rhett+1994,12,247,1289,5.218623482,11,36,271,7.527777778,0,283,1560,5.512367491,11,130,SEC,2
22,2,38,ARI,Chuck Levy,RB,22,Arizona,1994,,,,,,,chuck levy+1994,8,126,567,4.5,9,3,21,7,0,129,588,4.558139535,9,73.5,Pac-10,
23,2,42,PHI,Charlie Garner,RB,22,Tennessee,1994,182,,,,,69.1,charlie garner+1994,11,159,1161,7.301886792,8,12,81,6.75,0,171,1242,7.263157895,8,112.9090909,SEC,3
24,2,44,NOR,Mario Bates,RB,21,Arizona St.,1994,217,4.43,36,,4.12,72.6,mario bates+1994,11,246,1111,4.516260163,8,7,31,4.428571429,0,253,1142,4.513833992,8,103.8181818,Pac-10,2
25,2,58,KAN,Donnell Bennett,RB,21,Miami (FL),1994,,,,,,,donnell bennett+1994,11,143,563,3.937062937,7,25,185,7.4,1,168,748,4.452380952,8,68,Big East,3
26,3,73,SEA,Lamar Smith,RB,23,Houston,1994,,,,,,,lamar smith+1994,5,96,417,4.34375,2,29,205,7.068965517,3,125,622,4.976,5,124.4,SWC,3
27,3,80,RAI,Calvin Jones,RB,23,Nebraska,1994,212,4.58,30.5,,4.09,71.1,calvin jones+1994,9,185,1043,5.637837838,12,7,117,16.71428571,1,192,1160,6.041666667,13,128.8888889,Big 8,3
28,3,83,RAM,James Bostic,RB,22,Auburn,1994,222,4.62,34.5,,4.31,71.1,james bostic+1994,11,199,1205,6.055276382,12,10,40,4,1,209,1245,5.956937799,13,113.1818182,SEC,4
29,3,84,GNB,LeShon Johnson,RB,23,Northern Illinois,1994,206,,,,,70.9,leshon johnson+1994,11,327,1976,6.042813456,12,16,106,6.625,0,343,2082,6.069970845,12,189.2727273,Big West,3
30,3,91,PIT,Bam Morris,RB,22,Texas Tech,1994,241,,,,,72.5,bam morris+1994,11,298,1752,5.879194631,22,22,150,6.818181818,0,320,1902,5.94375,22,172.9090909,SWC,2
31,3,95,NYG,Gary Downs,RB,22,North Carolina St.,1994,212,4.61,33,,4.28,71.9,gary downs+1994,11,173,835,4.826589595,9,27,201,7.444444444,1,200,1036,5.18,10,94.18181818,ACC,4
32,4,114,CHI,Raymont Harris,RB,23,Ohio St.,1994,225,4.61,37,,4.4,72,raymont harris+1994,12,273,1344,4.923076923,12,6,55,9.166666667,0,279,1399,5.014336918,12,116.5833333,Big Ten,2
33,4,129,HOU,Sean Jackson,RB,,Florida St.,1994,219,4.69,35.5,,4.48,73.4,sean jackson+1994,12,134,825,6.156716418,5,32,184,5.75,3,166,1009,6.078313253,8,84.08333333,ACC,
34,5,149,GNB,Dorsey Levens,RB,24,Georgia Tech,1994,228,4.6,37.5,,4.42,72.9,dorsey levens+1994,10,114,823,7.219298246,8,8,134,16.75,1,122,957,7.844262295,9,95.7,ACC,2
35,5,160,SDG,Tony Vinson,RB,23,Towson,1994,229,4.61,32.5,,,73.4,tony vinson+1994,,,,,,,,,,,,,,,,
36,6,164,IND,Lamont Warren,RB,21,Colorado,1994,194,4.6,34,,4.16,71.8,lamont warren+1994,11,183,900,4.918032787,7,15,184,12.26666667,1,198,1084,5.474747475,8,98.54545455,Big 8,3
37,6,171,CLE,Robert Strait,RB,,Baylor,1994,,,,,,,robert strait+1994,9,85,347,4.082352941,9,8,93,11.625,0,93,440,4.731182796,9,48.88888889,SWC,
38,6,173,NYJ,Fred Lester,RB,,Alabama A&M,1994,,,,,,,fred lester+1994,,,,,,,,,,,,,,,,
39,6,185,KAN,Anthony Daigle,RB,24,Fresno St.,1994,,,,,,,anthony daigle+1994,12,156,769,4.929487179,7,42,612,14.57142857,8,198,1381,6.974747475,15,115.0833333,WAC,
40,7,201,ATL,Jamal Anderson,RB,21,Utah,1994,,,,,,,jamal anderson+1994,12,168,958,5.702380952,11,17,183,10.76470588,3,185,1141,6.167567568,14,95.08333333,WAC,1
41,7,204,ARI,Frank Harvey,RB,23,Georgia,1994,,,,,,,frank harvey+1994,,,,,,,,,,,,,,,,
42,7,206,PHI,Mark Montgomery,RB,,Wisconsin,1994,220,,,,,71.9,mark montgomery+1994,,,,,,,,,,,,,,,,
43,7,209,PIT,Brice Abrams,RB,,Michigan St.,1994,,,,,,,brice abrams+1994,,,,,,,,,,,,,,,,
44,7,212,DEN,Butler By'not'e,RB,21,Ohio St.,1994,,,,,,,butler by'not'e+1994,12,96,474,4.9375,4,3,1,0.333333333,0,99,475,4.797979798,4,39.58333333,Big Ten,
45,1,1,CIN,Ki-Jana Carter,RB,21,Penn St.,1995,227,,,,,70,ki-jana carter+1995,22,353,2565,7.266288952,30,20,172,8.6,0,373,2737,7.337801609,30,124.4090909,Big Ten,2
46,1,17,NYG,Tyrone Wheatley,RB,23,Michigan,1995,232,4.53,35.5,,4.27,72,tyrone wheatley+1995,21,417,2273,5.450839329,25,28,275,9.821428571,3,445,2548,5.725842697,28,121.3333333,Big Ten,3
