PK2,Unnamed: 0,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost,Year,PPRPoints,PPG,PK,response
a.j. schable+2006,485.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,2006,0.5,0.045454545454545456,a.j. schable+2006,4
aaron brown+2010,372.0,25.0,6.0,0.0,13.0,8.0,0.0,0.0,0.0,58.0,0.0,17.0,45.0,0.0,18.3,0.0,0.0,0.0,2010,18.3,3.0500000000000003,aaron brown+2010,3
aaron craver+1994,227.0,26.0,8.0,0.0,27.0,24.0,0.0,0.0,0.0,43.0,0.0,6.0,237.0,0.0,52.0,0.0,1.0,0.0,1994,52.0,6.5,aaron craver+1994,3
aaron craver+1995,266.0,55.0,31.0,25.0,108.0,82.0,0.0,0.0,1.0,565.0,7.0,132.0,666.0,2.0,255.1,0.0,2.0,2.0,3991,255.10000000000002,8.229032258064517,aaron craver+1995,2
aaron craver+1997,331.0,29.0,15.0,5.0,6.0,4.0,0.0,0.0,0.0,71.0,0.0,20.0,26.0,0.0,13.7,0.0,0.0,0.0,1997,13.700000000000001,0.9133333333333334,aaron craver+1997,4
aaron craver+1998,475.0,61.0,29.0,20.0,89.0,52.0,0.0,0.0,1.0,220.0,2.0,62.0,368.0,2.0,130.8,0.0,3.0,2.0,3997,130.8,4.5103448275862075,aaron craver+1998,3
aaron hayden+1995,436.0,45.0,17.0,4.0,9.0,6.0,0.0,0.0,0.0,636.0,3.0,183.0,63.0,0.0,93.9,0.0,1.0,0.0,3991,93.9,5.523529411764706,aaron hayden+1995,3
aaron hayden+1997,271.0,24.0,14.0,0.0,2.0,2.0,0.0,0.0,0.0,148.0,1.0,32.0,11.0,0.0,23.9,0.0,0.0,0.0,1997,23.900000000000002,1.7071428571428573,aaron hayden+1997,3
aaron jones+2017,268.0,125.0,69.0,57.0,249.0,183.0,0.0,0.0,0.0,4163.0,41.0,822.0,1448.0,12.0,955.2,0.0,8.0,4.0,10095,1054.1,15.276811594202897,aaron jones+2017,1
aaron ripkowski+2015,1188.0,72.0,47.0,10.0,21.0,17.0,0.0,0.0,0.0,163.0,2.0,39.0,103.0,1.0,61.599999999999994,0.0,0.0,0.0,6048,61.6,1.3106382978723405,aaron ripkowski+2015,3
aaron shea+2003,488.0,27.0,4.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.9,0.0,0.0,0.0,2003,2.9,0.725,aaron shea+2003,4
aaron stecker+2000,1231.0,106.0,55.0,2.0,42.0,33.0,0.0,0.0,0.0,402.0,1.0,101.0,233.0,2.0,108.49999999999999,0.0,5.0,3.0,8006,108.5,1.9727272727272727,aaron stecker+2000,3
aaron stecker+2004,1101.0,155.0,65.0,14.0,169.0,128.0,0.0,0.0,0.0,1109.0,7.0,280.0,908.0,1.0,367.7,0.0,5.0,5.0,10030,367.70000000000005,5.656923076923078,aaron stecker+2004,3
