Rk,Player,School,Conf,G,Rec,RecYds,RecAvg,RecTD,RushAtt,RushYds,RushAvg,RushTD,Plays,TotalYds,YardsPerPlay,TotalTDs
1,Devin Smith,Ohio State,Big Ten,14,33,931,28.2,12,0,0,,0,33,931,28.2,12
2,Phillip Dorsett,Miami (FL),ACC,12,36,871,24.2,10,2,-6,-3.0,0,38,865,22.8,10
3,Chris Moore,Cincinnati,American,11,30,673,22.4,8,0,0,,0,30,673,22.4,8
4,Sammie Coates,Auburn,SEC,12,34,741,21.8,4,0,0,,0,34,741,21.8,4
5,Ian Hamilton,UTEP,CUSA,12,27,579,21.4,2,0,0,,0,27,579,21.4,2
6,Breshad Perriman,UCF,American,13,50,1044,20.9,9,1,0,0.0,0,51,1044,20.5,9
7,Travin Dural,LSU,SEC,13,37,758,20.5,7,10,111,11.1,0,47,869,18.5,7
8,Deandre Smelter,Georgia Tech,ACC,10,35,715,20.4,7,3,103,34.3,1,38,818,21.5,8
9,Glenn Coleman,Florida International,CUSA,11,23,468,20.3,3,2,4,2.0,0,25,472,18.9,3
10,Devante Parker,Louisville,ACC,6,43,855,19.9,5,0,0,,0,43,855,19.9,5
11,Leonte Carroo,Rutgers,Big Ten,13,55,1086,19.7,10,0,0,,0,55,1086,19.7,10
12,Carlos Henderson,Louisiana Tech,CUSA,12,29,569,19.6,4,13,72,5.5,0,42,641,15.3,4
13,Rokeem Williams,Miami (OH),MAC,10,35,682,19.5,3,5,4,0.8,0,40,686,17.2,3
14,Mario Hull,Rice,CUSA,11,32,621,19.4,8,0,0,,0,32,621,19.4,8
15,Thomas Duarte,UCLA,Pac-12,10,28,540,19.3,4,0,0,,0,28,540,19.3,4
16,Darius Jennings,Virginia,ACC,12,27,521,19.3,2,24,115,4.8,1,51,636,12.5,3
17,Sterling Shepard,Oklahoma,Big 12,11,51,970,19.0,5,8,41,5.1,0,59,1011,17.1,5
18,Darren Carrington,Oregon,Pac-12,10,37,704,19.0,4,0,0,,0,37,704,19.0,4
19,Devin Lauderdale,Texas Tech,Big 12,10,31,589,19.0,7,0,0,,0,31,589,19.0,7
20,Keith Mumphery,Michigan State,Big Ten,12,26,495,19.0,3,6,85,14.2,1,32,580,18.1,4
21,Brandon Sheperd,Oklahoma State,Big 12,13,39,737,18.9,5,4,69,17.3,0,43,806,18.7,5
22,Jalen Robinette,Air Force,MWC,13,43,806,18.7,4,0,0,,0,43,806,18.7,4
23,J.J. Nelson,UAB,CUSA,12,35,655,18.7,4,5,45,9.0,0,40,700,17.5,4
24,Cam Worthy,East Carolina,American,11,55,1016,18.5,4,0,0,,0,55,1016,18.5,4
25,Tony Lippett,Michigan State,Big Ten,13,65,1198,18.4,11,2,51,25.5,1,67,1249,18.6,12
26,Kolby Listenbee,TCU,Big 12,13,41,753,18.4,4,2,19,9.5,0,43,772,18.0,4
27,Chris Conley,Georgia,SEC,13,36,657,18.3,8,0,0,,0,36,657,18.3,8
28,Rashard Higgins,Colorado State,MWC,12,96,1750,18.2,17,0,0,,0,96,1750,18.2,17
