Rk,Player,School,Conf,G,RushAtt,RushYds,RushAvg,RushTD,Rec,RecYds,RecAvg,RecTD,Plays,TotalYds,YardsPerPlay,TotalTDs
1,Deandra Cobb,Michigan State,Big Ten,12,96,728,7.6,4,7,10,1.4,0,103,738,7.2,4
2,Matt Jones,Arkansas,SEC,11,83,622,7.5,6,,,,,83,622,7.5,6
3,Drew Stanton,Michigan State,Big Ten,10,96,687,7.2,5,2,22,11.0,1,98,709,7.2,6
4,J.J. Arrington,California,Pac-10,12,289,2018,7.0,15,21,121,5.8,0,310,2139,6.9,15
5,Leon Washington,Florida State,ACC,10,138,951,6.9,7,14,90,6.4,0,152,1041,6.8,7
6,Ray Hudson,Alabama,SEC,6,92,638,6.9,4,11,78,7.1,1,103,716,7.0,5
7,Wendell Mathis,Fresno State,WAC,11,146,995,6.8,12,4,59,14.8,0,150,1054,7.0,12
8,Joseph Addai,LSU,SEC,12,101,680,6.7,3,26,294,11.3,4,127,974,7.7,7
9,Garrett Wolfe,Northern Illinois,MAC,11,256,1656,6.5,18,10,117,11.7,3,266,1773,6.7,21
10,Andre Hall,South Florida,CUSA,11,210,1357,6.5,11,18,149,8.3,1,228,1506,6.6,12
11,Vince Young,Texas,Big 12,12,167,1079,6.5,14,1,48,48.0,0,168,1127,6.7,14
12,Eric Shelton,Louisville,CUSA,12,146,938,6.4,20,6,35,5.8,0,152,973,6.4,20
13,Michael Brewster,Hawaii,WAC,13,113,722,6.4,6,34,273,8.0,1,147,995,6.8,7
14,Jamario Thomas,North Texas,Sun Belt,10,285,1801,6.3,17,3,14,4.7,0,288,1815,6.3,17
15,Maurice Drew,UCLA,Pac-10,11,160,1007,6.3,8,18,262,14.6,3,178,1269,7.1,11
16,Reggie Bush,USC,Pac-10,13,143,908,6.3,6,43,509,11.8,7,186,1417,7.6,13
17,DeAngelo Williams,Memphis,CUSA,12,313,1948,6.2,22,18,210,11.7,1,331,2158,6.5,23
18,Ryan Moats,Louisiana Tech,WAC,12,288,1774,6.2,18,15,116,7.7,1,303,1890,6.2,19
19,Laurence Maroney,Minnesota,Big Ten,12,217,1348,6.2,12,3,16,5.3,0,220,1364,6.2,12
20,P.J. Pope,Bowling Green State,MAC,12,178,1098,6.2,15,50,490,9.8,6,228,1588,7.0,21
21,Darnell Stephens,Air Force,MWC,11,73,451,6.2,8,6,133,22.2,2,79,584,7.4,10
22,Carlton Jones,Army,CUSA,11,209,1269,6.1,17,26,237,9.1,0,235,1506,6.4,17
23,Alley Broussard,LSU,SEC,12,142,867,6.1,10,1,10,10.0,0,143,877,6.1,10
24,Ronnie Brown,Auburn,SEC,12,153,913,6.0,8,34,313,9.2,1,187,1226,6.6,9
25,Quinton Ganther,Utah,MWC,12,109,654,6.0,2,7,49,7.0,1,116,703,6.1,3
26,Pierre Thomas,Illinois,Big Ten,11,152,893,5.9,8,14,95,6.8,1,166,988,6.0,9
27,Bryson Sumlin,Fresno State,WAC,12,191,1104,5.8,13,14,101,7.2,0,205,1205,5.9,13
28,Kay-Jay Harris,West Virginia,Big East,11,165,959,5.8,10,20,181,9.1,3,185,1140,6.2,13
29,Adrian Peterson,Oklahoma,Big 12,13,339,1925,5.7,15,5,12,2.4,0,344,1937,5.6,15
30,Vernand Morency,Oklahoma State,Big 12,11,258,1474,5.7,12,5,101,20.2,1,263,1575,6.0,13
31,Ciatrick Fason,Florida,SEC,12,222,1267,5.7,10,35,266,7.6,2,257,1533,6.0,12
32,Terrence Whitehead,Oregon,Pac-10,11,200,1144,5.7,6,44,405,9.2,2,244,1549,6.3,8
33,Gerald Riggs,Tennessee,SEC,13,193,1107,5.7,6,8,37,4.6,0,201,1144,5.7,6
34,Gerald Riggs Jr.,Tennessee,SEC,13,193,1107,5.7,6,8,37,4.6,0,201,1144,5.7,6
35,Damien Rhodes,Syracuse,Big East,12,153,870,5.7,10,18,246,13.7,1,171,1116,6.5,11
36,Jayson Bird,Idaho,Sun Belt,11,151,859,5.7,8,15,93,6.2,0,166,952,5.7,8
37,Anthony Butler,Air Force,MWC,11,72,413,5.7,3,,,,,72,413,5.7,3
38,Cedric Benson,Texas,Big 12,12,326,1834,5.6,19,22,179,8.1,1,348,2013,5.8,20
